State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Kedah,N.24,JENERI,MAHADZIR BIN ABDUL HAMID,BN,8,22,35.61,0,L,KLH,TIADA
Kedah,N.24,JENERI,MOHD. NAZRI BIN ABU HASSAN,PKR,4,22,18.07,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.24,JENERI,MUHAMMAD SANUSI MD NOR,PAS,10,22,46.31,1,L,MNG,TIADA
Kedah,N.25,BUKIT SELAMBAU,"DATO' JASPAL SINGH",BN,9,38,24.25,0,L,KLH,PERUNDING TEKNOLOGI MAKLUMAT
Kedah,N.25,BUKIT SELAMBAU,SUMMUGAM A/L RENGASAMY,PKR,17,38,45.11,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.25,BUKIT SELAMBAU,DR. MOHD ALI BIN SULAIMAN,PAS,11,38,30.64,0,L,KLH,TIADA
Kedah,N.26,TANJONG DAWAI,MEJAR ANUAR BIN ABDUL HAMID (B),PKR,10,32,32.43,0,L,KLH,PESARA KERAJAAN
Kedah,N.26,TANJONG DAWAI,TUAN HAJI ANNUAR BIN AHMAD,BN,10,32,32.21,0,L,KLH,BERNIAGA
Kedah,N.26,TANJONG DAWAI,USTAZ HANIF BIN GHAZALI,PAS,11,32,35.37,1,L,MNG,TIADA
Kedah,N.27,PANTAI MERDEKA,USTAZ ROSLI YUSOF,PKR,7,30,23.5,0,L,KLH,TIADA
Kedah,N.27,PANTAI MERDEKA,USTAZ FADZLI HASHIM,PAS,14,30,45.62,1,L,MNG,PESARA
Kedah,N.27,PANTAI MERDEKA,DATO ALI BIN YAHAYA,BN,9,30,30.88,0,L,KLH,SENDIRI
Kedah,N.28,BAKAR ARANG,USTAZ OTHMAN CHE MEE,PAS,7,31,24.01,0,L,KLH,PENDAKWAH BEBAS
Kedah,N.28,BAKAR ARANG,SIMON OOI,PKR,18,31,58.21,1,L,MNG,TIADA
